Question,Answer
What is Java?,"Java is a high-level, object-oriented programming language developed by Sun Microsystems, now owned by Oracle, designed for platform independence."
What is the primary use of the Spring Framework?,The primary use of the Spring Framework is to simplify enterprise Java development by providing comprehensive infrastructure support for developing Java applications.
What is a Java class?,"A Java class is a blueprint from which individual objects are created, encapsulating data and methods that operate on the data."
What is dependency injection in Spring?,Dependency injection is a design pattern used in Spring to manage the dependencies between objects by injecting the required dependencies into an object.
What is the difference between == and equals() in Java?,"checks if two references point to the same object in memory, while equals() checks if the content of the objects is the same."
What is Spring Boot?,Spring Boot is an extension of the Spring Framework that simplifies the setup and development of new Spring applications with minimal configuration.
What are Java Collections?,"Java Collections is a framework that provides various classes and interfaces to handle and manipulate groups of objects, such as lists, sets, and maps."
What is the purpose of @Autowired in Spring?,@Autowired is used in Spring to automatically inject dependencies into a bean by the Spring container.
What is a constructor in Java?,"A constructor is a special method used to initialize objects when they are created, often setting initial values for object attributes."
What is the difference between an abstract class and an interface in Java?,"An abstract class can have methods with implementations and constructors, while an interface only contains abstract methods (until Java 8, which introduced default methods)."
What is the role of the application.properties file in Spring Boot?,"application.properties is used to configure various settings for a Spring Boot application, such as database connections and server ports."
What is a Singleton pattern in Java?,The Singleton pattern ensures that a class has only one instance and provides a global point of access to that instance.
What is the Spring Bean Lifecycle?,"The Spring Bean Lifecycle includes phases such as instantiation, property setting, initialization, and destruction, managed by the Spring container."
What is polymorphism in Java?,"Polymorphism allows objects to be treated as instances of their parent class, with the ability to perform different functions based on their actual subclass type."
What is the difference between HashMap and TreeMap in Java?,"HashMap is unsorted and allows null values, while TreeMap is sorted according to natural ordering or a specified comparator and does not allow null keys."
What is the use of @Controller in Spring MVC?,@Controller is used to mark a class as a Spring MVC controller that handles HTTP requests and returns a view or response.
What is the @RequestMapping annotation in Spring?,@RequestMapping is used to map web requests to specific handler methods in a controller class.
What are Java Generics?,"Generics allow classes and methods to operate on types specified by the user, providing compile-time type safety and reducing the need for type casting."
What is the purpose of @Transactional in Spring?,"@Transactional is used to define the boundaries of a transaction, ensuring that operations within the transaction are committed or rolled back as a single unit."
What is the final keyword in Java?,"The final keyword is used to declare constants, prevent method overriding, and inheritance of classes."
What is a Spring Data JPA repository?,"A Spring Data JPA repository provides an abstraction layer for data access, offering methods for CRUD operations without the need for boilerplate code."
What is the difference between ArrayList and LinkedList in Java?,"ArrayList is backed by an array and provides fast random access, while LinkedList is a doubly linked list that provides efficient insertions and deletions."
What is a Servlet in Java?,"A Servlet is a Java class that handles HTTP requests and responses, typically used in web applications to process client requests."
What are Spring AOP aspects?,"Spring AOP (Aspect-Oriented Programming) aspects are used to define cross-cutting concerns, such as logging or transaction management, that can be applied to multiple parts of an application."
What is the purpose of @Component in Spring?,"@Component is used to mark a class as a Spring-managed bean, enabling it to be automatically detected and registered by the Spring container."
What is a Java Stream?,"A Java Stream is an abstraction that allows processing sequences of elements (such as collections) in a functional style, supporting operations like filtering, mapping, and reducing."
What is Spring Security?,"Spring Security is a framework that provides comprehensive security features for Java applications, including authentication, authorization, and protection against common vulnerabilities."
What is the try-with-resources statement in Java?,"The try-with-resources statement ensures that resources (like file streams) are closed automatically at the end of the block, avoiding resource leaks."
What is a Java Interface?,A Java interface is a reference type that can contain method declarations and constants but no implementation. Classes can implement multiple interfaces to inherit their abstract methods.
What is Spring Boot Actuator?,"Spring Boot Actuator provides production-ready features, such as monitoring and management endpoints, to help manage and monitor Spring Boot applications."
What is method overloading in Java?,"Method overloading occurs when multiple methods in a class have the same name but different parameter lists, allowing for different implementations based on the parameters."
What is the @Service annotation in Spring?,"@Service is used to mark a class as a service component in the Spring application context, typically containing business logic."
What is Java Reflection?,"Java Reflection is an API that allows inspection and modification of classes, methods, and fields at runtime, providing flexibility in dynamic operations."
What is the @Bean annotation in Spring?,"@Bean is used to define a bean method in a Spring configuration class, which is managed by the Spring container and can be used for dependency injection."
What is the @Value annotation in Spring?,"@Value is used to inject values into fields, methods, or constructor parameters from property files or other sources."
What is a Java Enum?,"An enum (short for enumeration) is a special Java type used to define collections of constants, representing a fixed set of named values."
What is the Spring Boot Starter?,A Spring Boot Starter is a pre-configured set of dependencies and configurations designed to simplify the setup of common functionalities in a Spring Boot application.
What is a Java Package?,"A Java package is a namespace that organizes related classes and interfaces, providing a way to group and manage them."
What is JPA in Spring?,"JPA (Java Persistence API) is a specification for managing relational data in Java applications, with implementations like Hibernate providing the actual functionality."
What is the @Repository annotation in Spring?,"@Repository is used to mark a class as a Data Access Object (DAO) component, typically involved in interacting with the database."
What is exception handling in Java?,"Exception handling is a mechanism in Java that allows a program to respond to runtime errors (exceptions) using try, catch, finally, and throw statements."
What is Spring Boot Starter Data JPA?,"Spring Boot Starter Data JPA is a starter dependency for integrating Spring Data JPA into a Spring Boot application, providing data access and repository support."
What is Java serialization?,"Java serialization is the process of converting an object into a byte stream for storage or transmission, and deserialization is the reverse process of reconstructing the object."
What is Spring Boot?,"Spring Boot is a framework that simplifies the creation of stand-alone, production-grade Spring applications with minimal configuration, by providing default settings and embedded servers."
What is a Java Thread?,"A Java thread is a lightweight process that allows concurrent execution of code within a single application, improving performance and responsiveness."
What is Spring Boot Starter Web?,"Spring Boot Starter Web is a starter dependency for building web applications with Spring Boot, providing the necessary libraries and configurations for creating web-based applications."
What is Spring Boot DevTools?,"Spring Boot DevTools is a set of tools that enhances the development experience by providing features like automatic restart, live reload, and remote debugging."
What is Java Reflection?,"Java Reflection is an API that allows inspection and manipulation of classes, methods, and fields at runtime, providing flexibility for dynamic code execution."
What is the @Configuration annotation in Spring?,"@Configuration is used to indicate that a class contains bean definitions and Spring configuration, allowing the class to be processed by the Spring container to generate bean definitions."
What is a Java Interface?,A Java interface is a reference type that can contain method declarations and constants but no implementation. Classes can implement multiple interfaces.
What is Spring Boot Actuator?,"Spring Boot Actuator provides production-ready features to help monitor and manage Spring Boot applications, such as metrics, health checks, and application environment information."
What is method overriding in Java?,"Method overriding occurs when a subclass provides a specific implementation of a method that is already defined in its superclass, allowing for runtime polymorphism."
What is a Java Constructor?,"A Java constructor is a special method used to initialize objects when they are created, often setting initial values for the object's attributes."
What is the @RequestParam annotation in Spring?,"@RequestParam is used to bind request parameters to method parameters in Spring MVC controller methods, allowing access to query parameters from HTTP requests."
What is a Java Lambda Expression?,"A lambda expression is a concise way to represent an anonymous function or method, allowing for more readable and functional-style code."
What is Spring Boot Starter Data MongoDB?,"Spring Boot Starter Data MongoDB is a starter dependency for integrating MongoDB with Spring Boot applications, providing support for MongoDB repositories and data access."
What is Java Serialization?,"Java serialization is the process of converting an object into a byte stream for storage or transmission, and deserialization is the process of converting the byte stream back into an object."
What is Spring Boot Starter Test?,"Spring Boot Starter Test is a starter dependency for testing Spring Boot applications, providing a set of libraries and tools for writing and executing tests."
What is the @PathVariable annotation in Spring?,"@PathVariable is used to bind a URI template variable to a method parameter in a Spring MVC controller, allowing dynamic content to be extracted from the URL."
What is Spring Boot Starter Security?,"Spring Boot Starter Security is a starter dependency for adding Spring Security to a Spring Boot application, providing authentication and authorization features."
What is Java Stream API?,"Java Stream API provides a way to process sequences of elements (such as collections) in a functional and declarative manner, supporting operations like filtering, mapping, and reducing."
What is the @Transactional annotation in Spring?,"@Transactional is used to define transaction boundaries for a method or class, ensuring that operations are executed within a transactional context and can be rolled back if needed."
What is the @PostConstruct annotation in Spring?,"@PostConstruct is used to annotate a method that should be executed after the bean's initialization is complete, allowing for any necessary setup or initialization."
What is Spring Data REST?,"Spring Data REST is a project that provides a way to expose JPA repositories as RESTful endpoints, simplifying the development of RESTful APIs backed by Spring Data JPA."
What is Java Collections Framework?,"The Java Collections Framework is a set of interfaces and classes that provide data structures and algorithms for storing and manipulating groups of objects, such as lists, sets, and maps."
What is the @ResponseBody annotation in Spring?,"@ResponseBody is used to indicate that the return value of a method should be written directly to the HTTP response body, rather than being interpreted as a view name."
What is Spring Boot Starter JDBC?,"Spring Boot Starter JDBC is a starter dependency for working with JDBC (Java Database Connectivity) in Spring Boot applications, providing support for database access and configuration."
What is Java Exception Handling?,"Exception handling in Java is a mechanism that allows a program to respond to runtime errors (exceptions) using try, catch, finally, and throw statements to handle or recover from exceptions."
What is the @EnableAutoConfiguration annotation in Spring Boot?,"@EnableAutoConfiguration is used to enable Spring Boot's auto-configuration feature, allowing Spring to automatically configure application components based on the dependencies present on the classpath."
What is Spring Boot Starter Thymeleaf?,"Spring Boot Starter Thymeleaf is a starter dependency for integrating Thymeleaf as a template engine in Spring Boot applications, supporting server-side rendering of HTML templates."
What is Java Reflection used for?,"Java Reflection is used for inspecting and manipulating classes, methods, and fields at runtime, providing the ability to dynamically load classes, invoke methods, and modify fields."
What is the @ComponentScan annotation in Spring?,"@ComponentScan is used to specify the packages that Spring should scan for annotated components, such as @Component, @Service, @Repository, and @Controller."
What is Spring Boot Starter AMQP?,"Spring Boot Starter AMQP is a starter dependency for integrating AMQP (Advanced Message Queuing Protocol) messaging with Spring Boot applications, providing support for RabbitMQ and other AMQP brokers."
